Order	Family	Subfamily	Tribe	Genus	Species	LivingGenus	LivingRelative	Living	TaxonString	FCT_HYP	FCT_LOP	FCT_HOR	FCT_AL	FCT_OL	FCT_SF	FCT_OT	FCT_CM
Artiodactyla	Bovidae	NA	Reduncini	Kobus	sp A	Kobus	NA	NA	ArtiodactylaBovidaeRedunciniKobussp A	3	2	1	0	1	1	0	1
Artiodactyla	Bovidae	NA	Reduncini	Kobus	sp B	Kobus	NA	NA	ArtiodactylaBovidaeRedunciniKobussp B	3	2	1	0	1	1	0	1
Artiodactyla	Bovidae	NA	Reduncini	Kobus	sp C	Kobus	NA	NA	ArtiodactylaBovidaeRedunciniKobussp C	3	2	1	0	1	1	0	1
Artiodactyla	Bovidae	NA	Reduncini	Kobus	sp D	Kobus	NA	NA	ArtiodactylaBovidaeRedunciniKobussp D	3	2	1	0	1	1	0	1
Artiodactyla	Bovidae	NA	Reduncini	Kobus	NA	Kobus	NA	NA	ArtiodactylaBovidaeRedunciniKobus	3	2	1	0	1	1	0	1
Artiodactyla	Bovidae	NA	Reduncini	Menelikia	leakeyi	Redunca	Kobus ellipsiprymnus	0	ArtiodactylaBovidaeRedunciniMenelikialeakeyi	3	2	1	0	1	1	0	1
Artiodactyla	Bovidae	NA	Reduncini	Menelikia	lyrocera	Redunca	Kobus ellipsiprymnus	0	ArtiodactylaBovidaeRedunciniMenelikialyrocera	3	2	1	0	1	1	0	1
Artiodactyla	Bovidae	NA	Reduncini	Menelikia	lyrocera	Redunca	Kobus ellipsiprymnus	0	ArtiodactylaBovidaeReduncinicf Menelikialyrocera	3	2	1	0	1	1	0	1
Artiodactyla	Bovidae	NA	Reduncini	Menelikia	NA	Redunca	NA	NA	ArtiodactylaBovidaeRedunciniMenelikia	3	2	1	0	1	1	0	1
Artiodactyla	Bovidae	NA	Reduncini	Redunca	NA	Redunca	NA	NA	ArtiodactylaBovidaeRedunciniRedunca	3	2	1	0	1	1	0	1
Artiodactyla	Bovidae	NA	Reduncini	NA	NA	NA	NA	NA	ArtiodactylaBovidaeReduncini	3	2	1	0	1	1	0	1
Artiodactyla	Bovidae	NA	Reduncini	NA	NA	NA	NA	NA	ArtiodactylaBovidaeRedunciniindetindet	3	2	1	0	1	1	0	1
Artiodactyla	Bovidae	NA	Reduncini/Bovini	NA	NA	NA	NA	NA	ArtiodactylaBovidaeReduncini/Bovini	3	2	1	0	1	NA	NA	1
Artiodactyla	Bovidae	NA	Reduncini/Hippotragini	NA	NA	NA	NA	NA	ArtiodactylaBovidaeReduncini/Hippotragini	3	2	1	0	1	1	0	NA
Artiodactyla	Bovidae	NA	Reduncini/Tragelaphini	NA	NA	NA	NA	NA	ArtiodactylaBovidaeReduncini/Tragelaphini	3	2	1	0	1	NA	0	NA
Artiodactyla	Bovidae	NA	Tragelaphini	Kobus	sigmoidalis	Kobus	Kobus ellipsiprymnus	0	ArtiodactylaBovidaeTragelaphiniKobussigmoidalis	2	2	1	0	1	0	0	0
Artiodactyla	Bovidae	NA	Tragelaphini	Prostrepsiceros	NA	Tragelaphus	NA	NA	ArtiodactylaBovidaeTragelaphiniProstrepsiceros	2	2	1	0	1	0	0	0
