ComLoc	Member	MidMemberAge	noFossils	noGenus	EastWest	Formation	meanHYP	meanHOR	meanAL	meanOL	meanSF	meanOT	meanCM	temp_high	pred_npp_ecom	pred_npp_ecomI	pred_npp_base_ecom	meanLOP	pred_habitat	pred_taxa
LA1 >< Kalochoro	Kalochoro	2.1	25	12	2	Nachukui	2.5	1.417	0.083	0.667	0.167	0.5	0.5	28.6594	601.058689352382	1334.365	957.693	1.333	1180.2	940.185775717914
LK3 >< Natoo	Natoo	1.39	11	6	2	Nachukui	2.333	1.333	0	1	0.5	0.5	0.5	0.549999999999997	981.882608815571	2602.924	777.5	1.333	1202	563.960971582205
LK4 >< Kaitio	Kaitio	1.68	10	8	2	Nachukui	1.875	1.375	0.125	0.625	0.5	0.375	0.375	6.2125	1260.29379517536	2905.625	1205.5	0.625	1260.5	923.308446088007
LO1 >< Upper Lomekwi	Upper Lomekwi	2.57	52	15	2	Nachukui	2.333	1.333	0.067	0.733	0.4	0.333	0.4	11.7413	866.26557186633	1931.145	1132.208	1.067	1276.28571428571	861.335641787167
LO10 >< Middle Lomekwi	Middle Lomekwi	2.8	20	9	2	Nachukui	2.444	1.444	0.111	0.889	0.222	0.556	0.444	19.8591	621.224826412167	1661.996	948.313	1	1269.88888888889	572.096924145584
LO2 >< Upper Lomekwi	Upper Lomekwi	2.57	7	6	2	Nachukui	2.833	1.833	0	0.667	0.333	0.667	0.833	18.7824	0	1788.806	568.249	1	1352.6	733.907145744137
LO3 >< Lokalalei	Lokalalei	2.43	30	15	2	Nachukui	2.4	1.4	0.133	0.733	0.067	0.4	0.4	33.2432	812.146414423529	934.999	1191.543	1.267	1289.15384615385	1081.85109203214
LO8 >< Kalochoro	Kalochoro	2.1	21	10	2	Nachukui	2.7	1.5	0	0.8	0.4	0.5	0.6	11.48	45.8641821227498	1815.8	777.5	1.2	1347.3	1163.18305228576
LO9 >< Middle Lomekwi	Middle Lomekwi	2.8	44	15	2	Nachukui	2.4	1.4	0.067	0.733	0.2	0.4	0.4	25.3213	735.218737762143	1343.217	1048.257	1.067	1219.57142857143	660.49778679863
NC1 >< Nariokotome	Nariokotome	1	47	15	2	Nachukui	2.4	1.267	0	0.8	0.267	0.467	0.467	20.5107	786.671186625418	1703.961	818.849	1.2	1318.71428571429	1007.88456253416
NC2 >< Nariokotome	Nariokotome	1	9	7	2	Nachukui	2	1.429	0.143	0.857	0.429	0.429	0.429	5.9286	1371.16491316236	2651.407	1176.916	1	1273.42857142857	877.86958036904
NK3 >< Natoo	Natoo	1.39	5	3	2	Nachukui	2	1.333	0	0.333	0.333	0.667	0.667	25.6962	1144.31326505298	2841.014	568.249	0.667	1538	940.446739025391
NN >< Natoo	Natoo	1.39	5	3	2	Nachukui	1.667	1	0.333	0.667	0.667	0	0.333	-9.4906	1515.81821379857	2972.892	2126.943	0.667	1385	598.654494567231
NO >< NO	NA	2	141	28	2	NA	2.259	1.464	0.071	0.679	0.25	0.429	0.393	22.9769	950.118455428589	1736.652	1020.604	0.964	1205.2380952381	1050.45114228061
NT1 >< Natoo	Natoo	1.39	5	3	2	Nachukui	2.667	1	0	1	0.333	0	0.333	11.8893	198.807949041123	667.111	1404	2	1059	751.342892938963
NY2 >< Kaitio	Kaitio	1.68	30	13	2	Nachukui	2.308	1.308	0	0.769	0.462	0.385	0.462	7.9119	845.065707612687	2265.032	921.595	0.923	1399.08333333333	1236.40387238615
NY3 >< Kaitio	Kaitio	1.68	26	11	2	Nachukui	2.455	1.364	0	0.818	0.273	0.636	0.455	19.7307	629.781070796394	1969.828	607.092	1.091	1300.5	999.091955419838
NY4 >< Natoo	Natoo	1.39	6	5	2	Nachukui	3	1.4	0	0.8	0	0.8	0.6	38.64	0	762.6	401.6	1.6	950.5	527.933847677292
